时间,伸缩量(mm)
2023-01-26 06:30:00,1639.19
2023-01-26 07:40:00,1639.27
2023-01-26 08:50:00,1639.41
2023-01-26 10:00:00,1639.43
2023-01-26 11:10:00,1639.38
2023-01-26 12:20:00,1638.52
2023-01-26 13:30:00,1636.5
2023-01-26 14:40:00,1633.1
2023-01-26 15:50:00,1629.98
2023-01-26 17:00:00,1628.22
2023-01-26 18:10:00,1627.8
2023-01-26 19:20:00,1627.78
2023-01-26 20:30:00,1627.78
2023-01-26 21:40:00,1627.75
2023-01-26 22:50:00,1627.75
2023-01-27 00:10:00,1628.03
2023-01-27 01:20:00,1629.57
2023-01-27 02:30:00,1632.12
2023-01-27 03:40:00,1635.43
2023-01-27 04:50:00,1638.39
2023-01-27 06:00:00,1641.73
2023-01-27 07:10:00,1644.72
2023-01-27 08:20:00,1647.24
2023-01-27 09:30:00,1647.8
2023-01-27 10:40:00,1646.49
2023-01-27 11:50:00,1636.37
2023-01-27 13:00:00,1621.17
2023-01-27 14:10:00,1606.39
2023-01-27 15:20:00,1595.48
2023-01-27 16:30:00,1590.1
2023-01-27 17:40:00,1589.66
2023-01-27 18:50:00,1591.4
2023-01-27 20:00:00,1596.25
2023-01-27 21:10:00,1602.61
2023-01-27 22:20:00,1608.88
2023-01-27 23:30:00,1615.15
2023-01-28 00:50:00,1620.21
2023-01-28 02:00:00,1624.68
2023-01-28 03:10:00,1627.96
2023-01-28 04:20:00,1631.21
2023-01-28 05:30:00,1634.75
2023-01-28 06:40:00,1637.71
2023-01-28 07:50:00,1640.92
2023-01-28 09:00:00,1642.11
2023-01-28 10:10:00,1642
2023-01-28 11:20:00,1634.5
2023-01-28 12:30:00,1620.69
2023-01-28 13:40:00,1607.04
2023-01-28 14:50:00,1595.77
2023-01-28 16:00:00,1589.06
2023-01-28 17:10:00,1587.2
2023-01-28 18:20:00,1587.29
2023-01-28 19:30:00,1589.42
2023-01-28 20:40:00,1595.23
2023-01-28 21:50:00,1602.3
2023-01-28 23:00:00,1609.4
2023-01-29 00:20:00,1615.62
2023-01-29 01:30:00,1620.76
2023-01-29 02:40:00,1625.42
2023-01-29 03:50:00,1629.98
2023-01-29 05:00:00,1633.62
2023-01-29 06:10:00,1637.78
2023-01-29 07:20:00,1641.15
2023-01-29 08:30:00,1643.45
2023-01-29 09:40:00,1643.54
2023-01-29 10:50:00,1641.01
2023-01-29 12:00:00,1628.47
2023-01-29 13:10:00,1613.17
2023-01-29 14:20:00,1599.03
2023-01-29 15:30:00,1588.02
2023-01-29 16:40:00,1582.84
2023-01-29 17:50:00,1581.98
2023-01-29 19:00:00,1583.26
2023-01-29 20:10:00,1588.53
2023-01-29 21:20:00,1594.98
2023-01-29 22:30:00,1602.23
2023-01-29 23:40:00,1609
2023-01-30 01:10:00,1616.82
2023-01-30 02:20:00,1622.06
2023-01-30 03:30:00,1626.98
2023-01-30 04:40:00,1630.99
2023-01-30 05:50:00,1634.17
2023-01-30 07:00:00,1637.63
2023-01-30 08:10:00,1640.25
2023-01-30 09:20:00,1640.59
2023-01-30 10:30:00,1638.68
2023-01-30 11:40:00,1626.53
2023-01-30 12:50:00,1609.26
2023-01-30 14:00:00,1592.2
2023-01-30 15:10:00,1577.81
2023-01-30 16:20:00,1568.53
2023-01-30 17:30:00,1565.48
2023-01-30 18:40:00,1565.56
2023-01-30 19:50:00,1570.36
2023-01-30 21:00:00,1577.69
2023-01-30 22:10:00,1585.05
2023-01-30 23:20:00,1591.6
