时间,风向(°)
2023-02-04 02:18:00,187.4
2023-02-04 03:37:00,313.47
2023-02-04 04:56:00,347.27
2023-02-04 06:15:00,333.4
2023-02-04 07:34:00,146.92
2023-02-04 08:52:00,114.15
2023-02-04 10:11:00,280
2023-02-04 11:29:00,158
2023-02-04 12:49:00,146.22
2023-02-04 14:08:00,300.78
2023-02-04 15:28:00,354.78
2023-02-04 16:46:00,248.38
2023-02-04 18:06:00,333.83
2023-02-04 19:23:00,336.95
2023-02-04 20:43:00,347.95
2023-02-04 22:02:00,315.58
2023-02-04 23:21:00,338.05
2023-02-05 00:41:00,341
2023-02-05 02:00:00,306.6
2023-02-05 03:19:00,322.57
2023-02-05 04:37:00,316
2023-02-05 05:56:00,292.73
2023-02-05 07:14:00,320.15
2023-02-05 08:34:00,298.83
2023-02-05 09:53:00,319.98
2023-02-05 11:13:00,320.47
2023-02-05 12:33:00,306.78
2023-02-05 13:52:00,306.97
2023-02-05 15:11:00,318.68
2023-02-05 16:30:00,350.6
2023-02-05 17:48:00,165.45
2023-02-05 19:06:00,321.47
2023-02-05 20:25:00,314.6
2023-02-05 21:43:00,328.58
2023-02-05 23:02:00,320.38
2023-02-06 00:22:00,314.08
2023-02-06 01:42:00,320.55
2023-02-06 03:00:00,316.65
2023-02-06 04:20:00,328.13
2023-02-06 05:39:00,321.35
2023-02-06 06:59:00,321.1
2023-02-06 08:18:00,304.58
2023-02-06 09:37:00,313.05
2023-02-06 10:56:00,317.97
2023-02-06 12:16:00,299.43
2023-02-06 13:35:00,116
2023-02-06 14:53:00,96.07
2023-02-06 16:13:00,169.4
2023-02-06 17:32:00,144.95
2023-02-06 18:51:00,197
2023-02-06 20:10:00,133.45
2023-02-06 21:29:00,131.9
2023-02-06 22:48:00,305.57
2023-02-07 00:08:00,329.35
2023-02-07 01:26:00,320.37
2023-02-07 02:45:00,321.63
2023-02-07 04:03:00,318.72
2023-02-07 05:22:00,314.18
2023-02-07 06:40:00,314.9
2023-02-07 07:59:00,320.95
2023-02-07 09:18:00,319.53
2023-02-07 10:37:00,322.97
2023-02-07 11:57:00,268.42
2023-02-07 13:15:00,309.52
2023-02-07 14:35:00,45.82
2023-02-07 15:54:00,148.58
